Rv#,Product,Gene ,Sub-classification,MT,MT#,#TA,TotalTA/Group
2890,30S ribosomal protein S2 ,rpsB,MMM: Ribosomal protein synthesis and modification,MT2958,2958,8,
2904,50S ribosomal protein L19,rplS,MMM: Ribosomal protein synthesis and modification,MT2972,2972,4,
2909,30S ribosomal protein S16,rpsP,MMM: Ribosomal protein synthesis and modification,MT2977,2977,7,
3241,member of S30AE ribosomal protein family,,MMM: Ribosomal protein synthesis and modification,MT3339,3339,13,
3420,ribosomal protein S18 acetyltransferase,rimL,MMM: Ribosomal protein synthesis and modification,MT3529,3529,11,
3442,30S ribosomal protein S9,rpsI,MMM: Ribosomal protein synthesis and modification,MT3547,3547,7,
3443,50S ribosomal protein L13,rplM,MMM: Ribosomal protein synthesis and modification,MT3548,3548,7,
3456,50S ribosomal protein L17,rplq,MMM: Ribosomal protein synthesis and modification,MT3563,3563,6,
3458,30S ribosomal protein S4,rpsD,MMM: Ribosomal protein synthesis and modification,MT3565,3565,13,
3459,30S ribosomal protein S11,rpsK,MMM: Ribosomal protein synthesis and modification,MT3566,3566,2,
3460,30S ribosomal protein S13,rpsM,MMM: Ribosomal protein synthesis and modification,MT3567,3567,9,
3461,50S ribosomal protein L36,rpmJ,MMM: Ribosomal protein synthesis and modification,MT3567.1,3567.1,2,
3924,50S ribosomal protein L34,rpmH,MMM: Ribosomal protein synthesis and modification,MT4041.1,4041.1,2,378
1010,16S rRNA dimethyltransferase,ksgA,MMM: Ribosome modification and maturation,MT1039,1039,12,
2838,ribosome-binding factor A,rbfA,MMM: Ribosome modification and maturation,MT2904,2904,8,
2907,16S rRNA processing protein,rimM,MMM: Ribosome modification and maturation,MT2975,2975,7,27
112,probable GDP-mannonse dehydratase,gca,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens,MT0121,121,31,
113,phosphoheptose isomerase,gmhA,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens,MT0122,122,26,
431,tuberculin related peptide (AT103),,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens,MT0446,446,10,
806,probable UDP-glucose-4-epimerase,cpsY,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens,MT0826,826,41,
899,member of OmpA family ,ompA,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens,MT0922,922,19,
954,cell envelope antigen ,,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens,MT0981,981,28,
1302,HP,rfe,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens,MT1341,1341,19,
1514,involved in polysaccharide synthesis,,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens,MT1564,1564,18,
1518,involved in exopolysaccharide synthesis,,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens,MT1568,1568,12,
1677,highly similar to C-term of Mpt53,dsbF,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens,MT1716,1716,12,
1758,partial cutinase,,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens,MT1805,1805,11,
1910,probable secreted protein,,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens,MT1961,1961,14,
1919,weak similarity to pollen antigen,,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens,MT1970,1970,7,
1980,secreted immunogenic protein Mpb64/Mpt64,mpt64,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens,MT2032,2032,22,
1984,probable secreted protein,,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens,MT2037,2037,13
1987,probable secreted protein,,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens,MT2041,2041,9
2145,antigen 84 (aka wag31),wag31,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens,MT2204,2204,11
2223,probable exported protease,,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens,MT2281,2281,29
2224,probable exported protease,,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens,MT2282,2282,29
2301,probable cutinase,,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens,MT2358,2358,9
2345,precursor of probable membrane protein,,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens,MT2410,2410,29
2672,putative exported protease,,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens,MT2746,2746,18
2873,surface lipoprotein Mpt83,mpt83,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens,MT2940,2940,13
2875,major sereted immunogenic protein Mpt70 precursor,mpt70,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens,MT2943,2942,45
2878,secreted protein Mpt53,mpt53,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens,MT2946,2945,20
2965,lipopolysaccharide core biosynthesis protein,kdtB,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens,MT3043,3043,4
3019,similar to Esat6,,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens,MT3104,3104,9
3036,probable secreted protein,,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens,MT3121,3121,16
3449,probable precursor of serine protease,,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens,MT3555,3555,21
3451,probable cutinase,,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens,MT3557,3557,15
3452,probable cutinase precursor,,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens,MT3559,3559,7,
3724,probable cutinase precursor,,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens,MT3827,3827,18,
3782,similar to rhamnosyl transferase,rfbE,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens,MT3891,3891,18,
3793,involved in arabinogalactan synthesis,embC,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens,MT3900,3900,53,
3794,involved in arabinogalactan synthesis,embA,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens,MT3901,3901,55,
3795,involved in arabinogalactan synthesis,embB,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens,MT3902,3902,49,
3810,cell surface protein precursor (Erp protein),pirG,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens,MT3917,3917,13,
3811,secreted protein  ,csp,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens,MT3918,3918,26,
3875,early secretory antigen target,esat6,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens,MT3989,3989,4,803
182,sigma-70 factors ECF subfamily,sigG,MMM:RNA synthesis; RNA modification and DNA transcription ,MT0191,191,21,
445,ECF-type sigma factor,sigK,MMM:RNA synthesis; RNA modification and DNA transcription ,MT0461,461,10,
639,transcription antitermination protein,nusG,MMM:RNA synthesis; RNA modification and DNA transcription ,MT0668,668,12,
667,[beta] subunit of RNA pol,ropB,MMM:RNA synthesis; RNA modification and DNA transcription ,MT0695,695,38,
668,[beta]' subunit of RNA pol,rpoC,MMM:RNA synthesis; RNA modification and DNA transcription ,MT0696,696,51,
735,sigma-70 factors ECF subfamily,sigL,MMM:RNA synthesis; RNA modification and DNA transcription ,MT0759,759,7,
1189,ECF family sigma factor,sigI,MMM:RNA synthesis; RNA modification and DNA transcription ,MT1226,1226,8,
1221,ECF subfamily sigma subunit,sigE,MMM:RNA synthesis; RNA modification and DNA transcription ,MT1259,1259,17
1253,ATP-dependent DNA/RNA helicase,deaD,MMM:RNA synthesis; RNA modification and DNA transcription ,MT1292,1292,35
1297,transcription termination factor rho,rho,MMM:RNA synthesis; RNA modification and DNA transcription ,MT1336,1336,22
1364,SigB regulation protein,rsbU,MMM:RNA synthesis; RNA modification and DNA transcription ,MT1410,1410,35
1644,putative 23S rRNA methyltransferase,tsnR,MMM:RNA synthesis; RNA modification and DNA transcription ,MT1682,1682,11
2069,ECF subfamily sigma subunit,sigC,MMM:RNA synthesis; RNA modification and DNA transcription ,MT2129,2129,18
2533,N-utilization substance protein B,nusB,MMM:RNA synthesis; RNA modification and DNA transcription ,MT2608,2608,10
2703,RNA pol sigma factor (aka MysA; RpoV),sigA,MMM:RNA synthesis; RNA modification and DNA transcription ,MT2777,2777,21
2710,RNA pol sigma factor (aka MysB),sigB,MMM:RNA synthesis; RNA modification and DNA transcription ,MT2783,2783,13
2783,pppGpp synthase and polyribonucleotide phosphorylase,gpsI,MMM:RNA synthesis; RNA modification and DNA transcription ,MT2853,2853,19
2793,tRNA pseudounidine 55 synthase,truB,MMM:RNA synthesis; RNA modification and DNA transcription ,MT2862.1,2862.1,9
2841,transcription termination factor  ,nusA,MMM:RNA synthesis; RNA modification and DNA transcription ,MT2907,2907,14
3211,probable ATP-dependent RNA helicase,rhlE,MMM:RNA synthesis; RNA modification and DNA transcription ,MT3307,3307,24
3223,ECF family sigma subunit,sigH,MMM:RNA synthesis; RNA modification and DNA transcription ,MT3320,3320,17
3232,alternative sigma factor for siderophore production,,MMM:RNA synthesis; RNA modification and DNA transcription ,MT3329,3329,24
3286,ECF subfamily sigma subunit,sigF,MMM:RNA synthesis; RNA modification and DNA transcription ,MT3385,3385,11
3287,anti-sigma B factor,rsbW,MMM:RNA synthesis; RNA modification and DNA transcription ,MT3386,3386,3,
3328,similar to SigI; ECF family,sigJ,MMM:RNA synthesis; RNA modification and DNA transcription ,MT3431,3431,11,
3366,probable rRNA methylase,spoU,MMM:RNA synthesis; RNA modification and DNA transcription ,MT3475,3475,33,
3414,ECF subfamily sigma subunit,sigD,MMM:RNA synthesis; RNA modification and DNA transcription ,MT3523,3523,12,
3455,probable pseudouridylate synthase,truA,MMM:RNA synthesis; RNA modification and DNA transcription ,MT3562,3562,12,
3457,[alpha] subunit of RNA pol,rpoA,MMM:RNA synthesis; RNA modification and DNA transcription ,MT3564,3564,13,
3649,ATP-dependent DNA/RNA helicase,,MMM:RNA synthesis; RNA modification and DNA transcription ,MT3751,3751,33,
3907,polynucleotide polymerase,pcnA,MMM:RNA synthesis; RNA modification and DNA transcription ,MT4026,4026,19,
3911,probable sigma factor; similar to SigE,sigM,MMM:RNA synthesis; RNA modification and DNA transcription ,MT4030,4030,9,592
133,possible puromycin N-acetyltransferase,,Other: Antibiotic production and resistance,MT0141,141,7,
262,aminoglycoside 2'-N-acetyltransferase,,Other: Antibiotic production and resistance,MT0275,275,7,
802,acetyltransferase,,Other: Antibiotic production and resistance,MT0822,822,16,
1082,similar to S. lincolnensis ImbE,,Other: Antibiotic production and resistance,MT1113,1113,13,
1170,similar to S. lincolnensis ImbE,,Other: Antibiotic production and resistance,MT1207,1207,11,
1347,possible aminoglycoside 6'-N-acetyltransferase,,Other: Antibiotic production and resistance,MT1389,1389,14,
2036,similar to lincomycin production genes,,Other: Antibiotic production and resistance,MT2096,2096,14,
2043,pyrizinamide resistance/sensitivity,pncA,Other: Antibiotic production and resistance,MT2103,2103,11,
2068,class A [beta]-lactamase,blaC,Other: Antibiotic production and resistance,MT2128,2128,14,
2303,similar to S. griseus macrotetrolide resistance,,Other: Antibiotic production and resistance,MT2360,2360,19,
3225,probable aminoglycoside-3'-phosphotransferases,,Other: Antibiotic production and resistance,MT3323,3323,28,
3290,lysine-[epsilon] aminotransferase,lat,Other: Antibiotic production and resistance,MT3389,3389,25,
3700,probable acetyltransferase,,Other: Antibiotic production and resistance,MT3803,3803,13,
3817,probable aminoglycoside-3'-phosphotransferases,,Other: Antibiotic production and resistance,MT3925.1,3925,14,206
798,similar to bacteriocins,,Other: Bacteriocin-like proteins,MT0819,819,16,
3660,involved in differentiation inhibition bwtween,,Other: Bacteriocin-like proteins,MT3760,3760,7,
3661,involved in differentiation inhibition bwtween,,Other: Bacteriocin-like proteins,MT3761,3761,16,39
958,similar to magnesium-chelatase subunit,,Other: Chelatases,MT0985,985,15,
2850,possible magnesium-chelatase,,Other: Chelatases,,,,15
407,probable coenzyme F420-dependent enzyme,,Other: Coenzyme F420-dependent enzymes,MT0420,420,20,
1360,coenzyme F420 dependent,,Other: Coenzyme F420-dependent enzymes,MT1405,1405,14,
3520,probable coenzyme F420-dependent enzyme,,Other: Coenzyme F420-dependent enzymes,MT3621,3621,16,50
1264,similar to adenylate cyclases,,Other: Cyclases,MT1302,1302,13,
1318,similar at C-term to adenylate cyclases,,Other: Cyclases,MT1359,1359,19,
1319,similar at C-term to adenylate cyclases,,Other: Cyclases,MT1361,1361,31,
1320,similar at C-term to adenylate cyclases,,Other: Cyclases,MT1362,1362,29,
1625,C-term similar to euk. Adenylate/guanylate cyclases,,Other: Cyclases,MT1661,1661,5,
3377,similar to many cyclases involved in steriod biosynthesis,,Other: Cyclases,MT3487,3487,58,155
136,cytochrome P450,,Other: Cytochrome P450 enzymes,MT0144,144,23,
327,cytochrome P450 monooxygenase,,Other: Cytochrome P450 enzymes,MT0342,342,24,
568,similar to MTCY63.32c cytochrome P450,,Other: Cytochrome P450 enzymes,MT0594,594,12,
763,ferrodoxin for cytochrome p450 system,,Other: Cytochrome P450 enzymes,MT0787.1,787.1,4,
764,possible lanosterol 14-demethylase cytochrome P450,,Other: Cytochrome P450 enzymes,MT0788,788,18,
766,cytochrome P450,,Other: Cytochrome P450 enzymes,MT0790,790,25,
778,similar to linalool 8-monooxygenase; cytochrome P450,,Other: Cytochrome P450 enzymes,MT0802,802,21,
1256,probable cytochrome P450,,Other: Cytochrome P450 enzymes,MT1295,1295,16,
1394,probable cytochrome P450,,Other: Cytochrome P450 enzymes,MT1439,1439,19,
1666,probable cytochrome P450,,Other: Cytochrome P450 enzymes,MT1706,1706,21,
1676,probable cytochrome P450,,Other: Cytochrome P450 enzymes,MT1715,1715,7,
1777,probable cytochrome P450,,Other: Cytochrome P450 enzymes,MT1827,1827,27,
1785,probable member of the cytochrome P450,,Other: Cytochrome P450 enzymes,MT1834,1834,25,
1880,similar to 6-deoxyerythronolide beta hydroxylase,,Other: Cytochrome P450 enzymes,MT1929,1929,16,
2266,probable cytochrome P450,,Other: Cytochrome P450 enzymes,MT2328,2328,16,
2268,probable cytochrome P450,,Other: Cytochrome P450 enzymes,MT2330,2330,28,
2276,probable cytochrome P450,,Other: Cytochrome P450 enzymes,MT2336,2336,17,
3059,possible lanosterol 14-demethylase cytochrome P450,,Other: Cytochrome P450 enzymes,MT3145,3145,24,
3121,probable cytochrome P450,,Other: Cytochrome P450 enzymes,MT3203,3203,26,
3518,probable cytochrome P450 monooxygenases,,Other: Cytochrome P450 enzymes,MT3619,3619,11,
3545,cytochrome P450,,Other: Cytochrome P450 enzymes,MT3649,3649,24,
3685,probable cytochrome P450,,Other: Cytochrome P450 enzymes,MT3787,3787,19,423
2512,possible IS1081 transposase,,Other: IS elements: IS1081,MT2587,2587,16,
2666,possible IS1081 transposase,,Other: IS elements: IS1081,MT2740,2740,11,
1047,possible IS1081 transposase,,Other: IS elements: IS1081,,3107,16,
1199,possible IS1081 transposase,,Other: IS elements: IS1082,,3107,16,
3023,possible IS1081 transposase,,Other: IS elements: IS1085,,3107,16,
3115,possible IS1081 transposase,,Other: IS elements: IS1086,MT3197,3197,16
795,possible IS6110 transposase,,Other: IS elements: IS6110,,,23
1756,possible IS6110 transposase,,Other: IS elements: IS6110,,2881,23
1757,possible IS6110 transposase,,Other: IS elements: IS6110,,2881,23
1763,possible IS6110 transposase,,Other: IS elements: IS6110,,2881,23
1764,possible IS6110 transposase,,Other: IS elements: IS6110,,2881,23
2814,possible IS6110 transposase,,Other: IS elements: IS6110,,2881,23
2815,possible IS6110 transposase,,Other: IS elements: IS6110,,2882,4
2479,possible IS6110 transposase,,Other: IS elements: IS6110,,,
2480,possible IS6110 transposase,,Other: IS elements: IS6110,,,
2648,possible IS6110 transposase,,Other: IS elements: IS6110,,,
2649,possible IS6110 transposase,,Other: IS elements: IS6110,,,
3184,possible IS6110 transposase,,Other: IS elements: IS6110,,,
3185,possible IS6110 transposase,,Other: IS elements: IS6110,,,
3186,possible IS6110 transposase,,Other: IS elements: IS6110,,,
3187,possible IS6110 transposase,,Other: IS elements: IS6110,,,
3380,possible IS6110 transposase,,Other: IS elements: IS6110,,,
3381,possible IS6110 transposase,,Other: IS elements: IS6110,,,
796,possible IS6110 transposase,,Other: IS elements: IS6111,,2881,23
1369,possible IS6110 transposase,,Other: IS elements: IS6112,,2881,23
1370,possible IS6110 transposase,,Other: IS elements: IS6113,,2882,4
2105,possible IS6110 transposase,,Other: IS elements: IS6118,MT2165,2165,3
2106,possible IS6110 transposase,,Other: IS elements: IS6119,MT2165.1,2165.1,1
2167,possible IS6110 transposase,,Other: IS elements: IS6120,,,
2168,possible IS6110 transposase,,Other: IS elements: IS6121,,,
2278,possible IS6110 transposase,,Other: IS elements: IS6122,,,
2279,possible IS6110 transposase,,Other: IS elements: IS6123,,,
2354,possible IS6110 transposase,,Other: IS elements: IS6124,MT2423.1,2423.1,5
2355,possible IS6110 transposase,,Other: IS elements: IS6125,MT2424,2424,3
3325,possible IS6110 transposase,,Other: IS elements: IS6136,,,
3326,possible IS6110 transposase,,Other: IS elements: IS6137,,,
3474,possible IS6110 transposase,,Other: IS elements: IS6140,,,
3475,possible IS6110 transposase,,Other: IS elements: IS6141,,,,295
605,resolvase,,Other: IS elements: Others,MT0633,633,10,
606,transposase,,Other: IS elements: Others,MT0635,635,8,
741,truncated copy of IS1557,,Other: IS elements: Others,MT0767,767,3,
829,probable transposase fragment,,Other: IS elements: Others,MT0850,850,5,
850,transposase fragment,,Other: IS elements: Others,MT0873,873,9,
920,probable transposase; related to IS1081,,Other: IS elements: Others,MT0947,947,22,
921,resolvase,,Other: IS elements: Others,MT0948,948,7,
922,transposase,,Other: IS elements: Others,MT0949,949,19,
1034,HP,,Other: IS elements: Others,MT1063,1063,2,
1035,HP,,Other: IS elements: Others,MT1065,1065,4,
1036,HP,,Other: IS elements: Others,MT1065,1065,4,
1041,HP,,Other: IS elements: Others,MT1072,1072,18,
1042,HP,,Other: IS elements: Others,MT1072,1072,18,
1149,HP,,Other: IS elements: Others,MT1072,1072,18,
1150,HP,,Other: IS elements: Others,MT1072,1072,18,
1313,transposase,,Other: IS elements: Others,MT1353,1353,16
3798,transposase,,Other: IS elements: Others,MT1353,3905,16
2013,transposase,,Other: IS elements: Others,MT2069,2069,3
2014,transposase,,Other: IS elements: Others,MT2070,2070,4
2085,putative transposase,,Other: IS elements: Others,MT2147,2147,3
2086,putative transposase,,Other: IS elements: Others,MT2148,2148,22
2177,HP,,Other: IS elements: Others,MT2233,2233,6
2424,HP,,Other: IS elements: Others,MT2497,2497,7
2791,transposase,,Other: IS elements: Others,MT2861,2861,17
2792,resolvase,,Other: IS elements: Others,MT2862,2862,6
2810,probable truncated transposase,,Other: IS elements: Others,MT2877,2877,5
2812,low similarity to transposase,,Other: IS elements: Others,MT2879,2879,19
797,HP,,Other: IS elements: Others,,2881,23
2885,transposase,,Other: IS elements: Others,MT2953,2953,17
2886,resolvase,,Other: IS elements: Others,MT2954,2954,21
2943,HP,,Other: IS elements: Others,MT3015,3015,11
2944,HP,,Other: IS elements: Others,MT3016,3016,10
2978,transposase,,Other: IS elements: Others,MT3056,3056,12
2979,resolvase,,Other: IS elements: Others,MT3057,3057,7
3191,HP,,Other: IS elements: Others,MT3281,3281,19
3327,HP,,Other: IS elements: Others,MT3430,3430,20
3348,weakly similar to transposases,,Other: IS elements: Others,MT3455,3455,3
3844,weakly similar to transposases; 100% ID to Rv3348,,Other: IS elements: Others,MT3455,3955,3
3349,HP,,Other: IS elements: Others,MT3456,3456,3
3386,HP,,Other: IS elements: Others,MT3494,3494,11
3387,HP,,Other: IS elements: Others,MT3494.1,3494.1,7
3430,transposase,,Other: IS elements: Others,MT3534,3534,23
3431,probable truncated transposase,,Other: IS elements: Others,MT3537,3537,9
3636,HP,,Other: IS elements: Others,MT3739,3739,17
3638,HP,,Other: IS elements: Others,MT3740,3740,13
3640,probable transposase highly related to IS1081,,Other: IS elements: Others,MT3742,3742,17
3827,transposase,,Other: IS elements: Others,MT3935,3935,18
3828,resolvase,,Other: IS elements: Others,MT3936,3936,8,
2087,putative transposase,,Other: IS elements: Others,,,,
3427,HP,,Other: IS elements: Others,,,,
3428,HP,,Other: IS elements: Others,,,,
3637,HP,,Other: IS elements: Others,,,,561
1054,integrase-a,,Other: IS elements: Phage related functions,MT1084,1084,6,
1055,integrase-b,,Other: IS elements: Phage related functions,MT1084,1084,6,
1701,integrase/recombinase,,Other: IS elements: Phage related functions,MT1740,1740,14,
2309,integrase,,Other: IS elements: Phage related functions,MT2368,2368,9,
2310,excisonase,,Other: IS elements: Phage related functions,MT2372,2372,3,
2646,phiRV2 integrase,,Other: IS elements: Phage related functions,MT2724,2724,19,
2647,phiRV2 phage related protein,,Other: IS elements: Phage related functions,MT2725,2725,6,
2650,phiRV2 phage related protein,,Other: IS elements: Phage related functions,MT2727,2727,9,
2651,phiRV2 prohead protease,,Other: IS elements: Phage related functions,MT2728,2728,7,
2652,phiRV2 phage related protein,,Other: IS elements: Phage related functions,MT2729,2729,6,
2653,phiRV2 phage related protein,,Other: IS elements: Phage related functions,MT2730,2730,4,
2654,phiRV2 phage related protein,,Other: IS elements: Phage related functions,MT2731,2731,0
2655,phiRV2 phage related protein,,Other: IS elements: Phage related functions,MT2732,2732,22
2656,phiRV2 phage related protein,,Other: IS elements: Phage related functions,MT2733,2733,5
2657,similar to gp36 of mycobacteriophage L5,,Other: IS elements: Phage related functions,MT2734,2734,5
2658,phiRV2 phage related protein,,Other: IS elements: Phage related functions,MT2734.1,2734.1,12
2659,phiRV2 integrase,,Other: IS elements: Phage related functions,MT2735,2735,22
2894,integrase/recombinase,xerC,Other: IS elements: Phage related functions,MT2962,2962,12
1586,phiRV1 integrase,,Other: IS elements: Phage related functions,,3573,22
1584,phiRV1 phage related protein,,Other: IS elements: Phage related functions,MT3573.01,3573.1,0
1585,phiRV1 phage related protein,,Other: IS elements: Phage related functions,MT3573.01,3573.1,0
1575,phiRV1 phage related protein,,Other: IS elements: Phage related functions,MT3573.11,3573.11,0
1574,phiRV1 phage related protein,,Other: IS elements: Phage related functions,MT3573.14,3573.14,0
1573,phiRV1 phage related protein,,Other: IS elements: Phage related functions,MT3573.15,3573.15,0
1583,phiRV1 phage related protein,,Other: IS elements: Phage related functions,MT3573.02,3573.2,5
1582,phiRV1 phage related protein,,Other: IS elements: Phage related functions,MT3573.03,3573.3,32
1581,phiRV1 phage related protein,,Other: IS elements: Phage related functions,MT3573.04,3573.4,10
1580,phiRV1 phage related protein,,Other: IS elements: Phage related functions,MT3573.05,3573.5,5,
1579,phiRV1 phage related protein,,Other: IS elements: Phage related functions,MT3573.06,3573.6,4,
1578,phiRV1 phage related protein,,Other: IS elements: Phage related functions,MT3573.07,3573.7,4,
1577,phiRV1 possible prohead protease,,Other: IS elements: Phage related functions,MT3573.08,3573.8,8,
1576,phiRV1 phage related protein,,Other: IS elements: Phage related functions,MT3573.09,3573.9,2,
3750,excisonase,,Other: IS elements: Phage related functions,MT3857,3857,5,
3751,putative integrase,,Other: IS elements: Phage related functions,MT3858,3858,3,
2830,similar to phage P1 phd gene,,Other: IS elements: Phage related functions,,,,267
94,REP-family protein,,Other: IS elements: REP13E12 family,MT0103,103,12,
1588,REP-family protein,,Other: IS elements: REP13E12 family,MT0103,103,12,
95,REP-family protein,,Other: IS elements: REP13E12 family,MT0104,104,10,
1128,REP-family protein,,Other: IS elements: REP13E12 family,MT1160,1160,27,
1587,REP-family protein,,Other: IS elements: REP13E12 family,MT1622.1,1622.1,3,
1702,REP-family protein,,Other: IS elements: REP13E12 family,MT1741,1741,24,
1148,REP-family protein,,Other: IS elements: REP13E12 family,MT1995,1995,24,
1945,REP-family protein,,Other: IS elements: REP13E12 family,MT1995,1995,24,
3466,REP-family protein,,Other: IS elements: REP13E12 family,MT3572,3572,12,
3467,REP-family protein,,Other: IS elements: REP13E12 family,MT3573,3573,22,170
1263,probable amidase AM12_MYCTU Q11056,amiB2,Other: Miscellaneous phosphatases; lyases and hydrolases,MT1301,1301,22,
1604,impA; inositol monophosphatase,impA,Other: Miscellaneous phosphatases; lyases and hydrolases,MT1640,1640,9,
1692,probable hydrolase,,Other: Miscellaneous phosphatases; lyases and hydrolases,MT1731,1731,12,
1833,similar to 1;3;4;6-tetrachloro-1;4-cyclohexadiene hydrolase,,Other: Miscellaneous phosphatases; lyases and hydrolases,MT1881,1881,14,
2277,possible glycerolphosphodiesterase,,Other: Miscellaneous phosphatases; lyases and hydrolases,MT2337,2337,13,
2296,halokane dehalogenase,,Other: Miscellaneous phosphatases; lyases and hydrolases,MT2353,2353,16,
2363,putative amidase,amiA2,Other: Miscellaneous phosphatases; lyases and hydrolases,MT2432,2432,17,
2579,1;3;4;6-tetrachloro-1;4-cyclohexadiene hydrolase,linB,Other: Miscellaneous phosphatases; lyases and hydrolases,MT2656,2656,15,
2888,putative amidase,amiC,Other: Miscellaneous phosphatases; lyases and hydrolases,MT2956,2956,32,
3137,probable monophosphatase,,Other: Miscellaneous phosphatases; lyases and hydrolases,MT3224,3224,8,
3175,probable amidase  ,,Other: Miscellaneous phosphatases; lyases and hydrolases,MT3264,3264,21,
3273,C-term similar to carbonic anhydrase,,Other: Miscellaneous phosphatases; lyases and hydrolases,MT3373,3373,31,
3310,probable acid phosphatase,,Other: Miscellaneous phosphatases; lyases and hydrolases,MT3409,3409,17,
3375,probable amidase; v. similar to MTCY50.19,amiD,Other: Miscellaneous phosphatases; lyases and hydrolases,MT3485,3485,5,
3569,probable hydrolase,,Other: Miscellaneous phosphatases; lyases and hydrolases,MT3674,3674,14,
3588,putative carbonic anhydrase,,Other: Miscellaneous phosphatases; lyases and hydrolases,MT3694,3694,8,
3677,probable hydrolase,,Other: Miscellaneous phosphatases; lyases and hydrolases,MT3778,3778,11,
3684,probable lyase; cysteine metabolism,,Other: Miscellaneous phosphatases; lyases and hydrolases,MT3786,3786,20,285
75,probable aminotransferase,,Other: Miscellaneous Transferases,MT0081,81,24,
111,possible acyltransferase,,Other: Miscellaneous Transferases,MT0120,120,42,
187,probable o-methyltransferase,,Other: Miscellaneous Transferases,MT0197,197,7,
188,putative methyltransferase,,Other: Miscellaneous Transferases,MT0198,198,10,
213,some similarity to methyltransferases,,Other: Miscellaneous Transferases,MT0223,223,31,
224,probable methyltransferase,,Other: Miscellaneous Transferases,MT0234,234,15,
228,similar to acyltransferase,,Other: Miscellaneous Transferases,MT0238,238,14,
380,some similarity to methyltransferases,,Other: Miscellaneous Transferases,MT0393,393,10,
517,possible acyltransferase,,Other: Miscellaneous Transferases,MT0538,538,19,
520,similar to methyltransferases,,Other: Miscellaneous Transferases,MT0542,542,5,
539,probable glycosyltransferase,,Other: Miscellaneous Transferases,MT0564,564,6,
560,methyl transferase,,Other: Miscellaneous Transferases,MT0586,586,15,
567,probable methyltransferase,,Other: Miscellaneous Transferases,MT0593,593,19
696,glycosyltransferase,,Other: Miscellaneous Transferases,MT0723,723,26
858,possible aminotransferase,,Other: Miscellaneous Transferases,MT0881,881,21
881,possible rRNA methyltransferase,,Other: Miscellaneous Transferases,MT0904,904,15
1147,similar to phosphatidylethanolamine N-methyltransferase,,Other: Miscellaneous Transferases,MT1180,1180,9
1178,possible aminotransferase,,Other: Miscellaneous Transferases,MT1215,1215,20
1220,probable methyltransferase,,Other: Miscellaneous Transferases,MT1258,1258,10
1254,acyltransferase,,Other: Miscellaneous Transferases,MT1293,1293,26
1373,slight similarity to sulfotransferases,,Other: Miscellaneous Transferases,MT1418,1418,19
1377,some similarity to methyltransferases,,Other: Miscellaneous Transferases,MT1421,1421,15
1403,similar to phosphatidylethanolamine N-methyltransferase,,Other: Miscellaneous Transferases,MT1447,1447,16
1405,similar to phosphatidylethanolamine N-methyltransferase,,Other: Miscellaneous Transferases,MT1449,1449,12
1464,NifS-like protein,,Other: Miscellaneous Transferases,MT1511,1511,15
1498,methyl transferase,,Other: Miscellaneous Transferases,MT1546,1546,16
