Rv#,Product,Gene ,Sub-classification
2011,Hypothetical protein,,Unknowns
2012,Hypothetical protein,,Unknowns
2013,transposase,,Other: IS elements: Others
2014,transposase,,Other: IS elements: Others
2015,conserved hypothetical protein,,Conserved Hypotheticals
2016,Hypothetical protein,,Unknowns
2017,putative transcriptional regulator (PbsX/Xre family),,SMM: Repressors/activators
2018,conserved hypothetical protein,,Conserved Hypotheticals
2019,Hypothetical protein,,Unknowns
2020,Hypothetical protein,,Unknowns
2021,putative transcriptional regulator,,SMM: Repressors/activators
2022,conserved hypothetical protein,,Conserved Hypotheticals
2023,Hypothetical protein,,Unknowns
2024,conserved hypothetical protein,,Conserved Hypotheticals
2025,probable membrane protein,,MMM: Other membrane proteins
2026,conserved hypothetical protein,,Conserved Hypotheticals
2027,sensor histidine kinase,,SMM: Two component systems
2028,conserved hypothetical protein,,Conserved Hypotheticals
2029,phosphofructokinase II,pfkB,SMM: Energy metabolism-Glycolysis
2030,conserved hypothetical protein,,Conserved Hypotheticals
2031,14 kD antigen; heat shock protein Hsp20 family,hspX,Cell Process: Chaperones/Heat Shock
2032,conserved hypothetical protein,,Conserved Hypotheticals
2033,Hypothetical protein,,Unknowns
2034,transcriptional regulator (ArsR family),,SMM: Repressors/activators
2035,Hypothetical protein,,Unknowns
2036,similar to lincomycin production genes,,Other: Antibiotic production and resistance
2037,probable transmembrane protein,,MMM: Other membrane proteins
2038,probable ABC sugar transporter,,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols
2039,probable sugar transporter,,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols
2040,probable sugar transporter,,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols
2041,probable sugar transporter,,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols
2042,conserved hypothetical protein,,Conserved Hypotheticals
2043,pyrizinamide resistance/sensitivity,pncA,Other: Antibiotic production and resistance
2044,Hypothetical protein,,Unknowns
2045,probable carboxylesterase,lipT,MMM: Esterases and Lipases
2046,probable lipoprotein,lppI,MMM: Cell membrane-Lipoproteins
2047,conserved hypothetical protein,,Conserved Hypotheticals
2048,polyketide synthase (erythronolide synthase-like),pks12,SMM: Polyketide and non-ribosomal peptide synthesis
2049,Hypothetical protein,,Unknowns
2050,conserved hypothetical protein,,Conserved Hypotheticals
2051,probable membrane protein,,MMM: Other membrane proteins
2052,Hypothetical protein,,Unknowns
2053,conserved hypothetical protein,,Conserved Hypotheticals
2054,Hypothetical protein,,Unknowns
2055,30S ribosomal protein S18,rpsR2,MMM: Ribosomal protein synthesis and modification
2056,30S ribosomal protein S14,rpsN2,MMM: Ribosomal protein synthesis and modification
2057,50S ribosomal protein L33,rpmG,MMM: Ribosomal protein synthesis and modification
2058,50S ribosomal protein L28,rpmB2,MMM: Ribosomal protein synthesis and modification
2059,conserved hypothetical protein,,Conserved Hypotheticals
2060,conserved hypothetical protein,,Conserved Hypotheticals
2061,Hypothetical protein,,Unknowns
2062,cobalt insertion ,cobN,SMM: Biosyn of Cobalamin
2063,Hypothetical protein,,Unknowns
2064,percorrin reductase,cobG,SMM: Biosyn of Cobalamin
2065,precorrin isomerase,cobH,SMM: Biosyn of Cobalamin
2066,CobI-CobJ fusion protein,cobI,SMM: Biosyn of Cobalamin
2067,conserved hypothetical protein,,Conserved Hypotheticals
2068,class A [beta]-lactamase,blaC,Other: Antibiotic production and resistance
2069,ECF subfamily sigma subunit,sigC,MMM:RNA synthesis; RNA modification and DNA transcription
2070,precorrin reductase,cobK,SMM: Biosyn of Cobalamin
2071,precorrin-3 methylase,cobM,SMM: Biosyn of Cobalamin
2072,probable methyltransferase,cobL,SMM: Biosyn of Cobalamin
2073,probable oxidoreductase,,SMM: Misc oxidoreductases and oxygenases
2074,Hypothetical protein,,Unknowns
2075,Hypothetical protein,,Unknowns
2076,Hypothetical protein,,Unknowns
2077,conserved hypothetical protein,,Conserved Hypotheticals
2078,Hypothetical protein,,Unknowns
2079,Hypothetical protein,,Unknowns
2080,lipoprotein,lppJ,MMM: Cell membrane-Lipoproteins
2081,Hypothetical protein,,Unknowns
2082,conserved hypothetical protein,,Conserved Hypotheticals
2083,conserved hypothetical protein,,Conserved Hypotheticals
2084,Hypothetical protein,,Unknowns
2085,putative transposase,,Other: IS elements: Others
2086,putative transposase,,Other: IS elements: Others
2087,putative transposase,,Other: IS elements: Others
2088,serine-threonine protein kinase,pknJ,SMM: Ser/Thr protein kinases and phosphoprotein phosphatases
2089,cytoplasmic peptidase,pepE,MMM: Degradation of Proteins; peptides and glycopeptides
2090,partially similar to DNA pol I,,MMM: DNA replication; repair; recombination and restriction/modification
2091,potential transmembrane region,,MMM: Other membrane proteins
2092,probable helicase; Ski2 subfamily,helY,MMM: DNA replication; repair; recombination and restriction/modification
2093,membrane protein,,MMM: Other membrane proteins
2094,conserved hypothetical protein,,Conserved Hypotheticals
2095,conserved hypothetical protein,,Conserved Hypotheticals
2096,conserved hypothetical protein,,Conserved Hypotheticals
2097,conserved hypothetical protein,,Conserved Hypotheticals
2098,PE_PGRS family protein,PE_PGRS,Other: PE family: PGRS subfamily
2099,PE_PGRS family protein,PE_PGRS,Other: PE family: PGRS subfamily
2100,conserved hypothetical protein,,Conserved Hypotheticals
2101,probable helicase; Snf2/Rad54 family,helZ,MMM: DNA replication; repair; recombination and restriction/modification
2102,conserved hypothetical protein,,Conserved Hypotheticals
2103,conserved hypothetical protein,,Conserved Hypotheticals
2104,conserved hypothetical protein,,Conserved Hypotheticals
2105,possible IS6110 transposase,,Other: IS elements: IS6118
2106,possible IS6110 transposase,,Other: IS elements: IS6119
2107,PE-family protein,PE,Other: PE family: PE subfamily
2108,PPE-family protein,PPE,Other: PPE family of proteins
2109,proteasome [alpha]-type subunit 1,prcA,MMM: Degradation of Proteins; peptides and glycopeptides
2110,proteasome [beta]-type subunit 2,prcB,MMM: Degradation of Proteins; peptides and glycopeptides
2111,conserved hypothetical protein,,Conserved Hypotheticals
2112,conserved hypothetical protein,,Conserved Hypotheticals
2113,possible integral membrane protein,,MMM: Other membrane proteins
2114,Hypothetical protein,,Unknowns
2115,ATPase of AAA-family,,Cell Process: Cell division
2116,lipoprotein,lppK,MMM: Cell membrane-Lipoproteins
2117,conserved hypothetical protein,,Conserved Hypotheticals
2118,conserved hypothetical protein,,Conserved Hypotheticals
2119,conserved hypothetical protein,,Conserved Hypotheticals
2120,Hypothetical protein,,Unknowns
2121,ATP phosphoribosyltransferae,hisG,SMM: Amino acid synthesis-Histidine
2122,phosphoribosyl-AMP cyclohydrolase,hisI ,SMM: Amino acid synthesis-Histidine
2123,PPE-family protein,PPE,Other: PPE family of proteins
2124,5-methyltetrahydrofolate-homocysteine,metH,SMM: Amino acid synthesis-Aspartate family
2125,conserved hypothetical protein,,Conserved Hypotheticals
2126,PE_PGRS family protein,PE_PGRS,Other: PE family: PGRS subfamily
2127,L-asparagine permease,ansP,Cell Process: Transport/Binding: amino acids
2128,Hypothetical protein,,Unknowns
2129,putative oxidoreductase,,SMM: Misc oxidoreductases and oxygenases
2130,cysteinyl-tRNA synthase,cysS2,MMM: Aminoacyl tRNA synthases and their modification
2131,homologue of M. leprae cysQ,cysQ,SMM: Intermediate Metabolism-of sulphur
2132,conserved hypothetical protein,,Conserved Hypotheticals
2133,conserved hypothetical protein,,Conserved Hypotheticals
2134,conserved hypothetical protein,,Conserved Hypotheticals
2135,conserved hypothetical protein,,Conserved Hypotheticals
2136,putative bacitracin resistance protein],,Cell Process: Efflux proteins
2137,conserved hypothetical protein,,Conserved Hypotheticals
2138,lipoprotein,lppL,MMM: Cell membrane-Lipoproteins
2139,dihydroorotate dehydrogenase,pyrD,SMM: Pyrimidine ribonucleotide biosynthesis
2140,conserved hypothetical protein,,Conserved Hypotheticals
2141,ArgE/DapE/Acy1/Cpg2/ycsS family,dapE2,SMM: Amino acid synthesis-Aspartate family
2142,Hypothetical protein,,Unknowns
2143,conserved hypothetical protein,,Conserved Hypotheticals
2144,probable transmembrane protein,,MMM: Other membrane proteins
2145,antigen 84 (aka wag31),wag31,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens
2146,Hypothetical protein,,Unknowns
2147,Hypothetical protein,,Unknowns
2148,conserved hypothetical protein,,Conserved Hypotheticals
2149,YFIH_STRGR P45496,yfiH,Conserved Hypotheticals
2150,circumferential ring; GTPase,ftsZ,Cell Process: Cell division
2151,ingrowth of wall at septum,ftsQ,Cell Process: Cell division
2152,UDP-N-acetyl-muramate-alanine ligase,murC,MMM: Murein sacculus and peptidoglycan
2153,transferase in peptidoglycan synthesis,murG,MMM: Murein sacculus and peptidoglycan
2154,membrane protein (shape determination),ftsW,Cell Process: Cell division
2155,UDP-N-acetylmuramoylalanine-D-glutamate ligase,murD,MMM: Murein sacculus and peptidoglycan
2156,phospho-N-acetylmuramoyl-pentapeptide transferase,murX,MMM: Murein sacculus and peptidoglycan
2157,D-alanine: D-alanine adding enzyme,murF,MMM: Murein sacculus and peptidoglycan
2158,meso-diaminopimelate adding enzyme,murE,MMM: Murein sacculus and peptidoglycan
2159,Hypothetical protein,,Unknowns
2160,Hypothetical protein,,Unknowns
2161,similar to alkanal monooxygenase beta chain,,SMM: Misc oxidoreductases and oxygenases
2162,PE_PGRS family protein,PE_PGRS,Other: PE family: PGRS subfamily
2163,penicillin-binding protein 2,pbpB,MMM: Murein sacculus and peptidoglycan
2164,Hypothetical protein,,Unknowns
2165,conserved hypothetical protein,,Conserved Hypotheticals
2166,conserved hypothetical protein,,Conserved Hypotheticals
2167,possible IS6110 transposase,,Other: IS elements: IS6120
2168,possible IS6110 transposase,,Other: IS elements: IS6121
2169,Hypothetical protein,,Unknowns
2170,Hypothetical protein,,Unknowns
2171,probable lipoprotein,lppM,MMM: Cell membrane-Lipoproteins
2172,Hypothetical protein,,Unknowns
2173,geranylgeranyl pyrophosphate synthase,idsA2,SMM: Biosyn of Menaquinone; PQQ; ubiquinone and other terpenoids
2174,probable membrane protein,,MMM: Other membrane proteins
2175,putative transcriptional regulator,,SMM: Repressors/activators
2176,serine-threonine protein kinase; truncated,pknL,SMM: Ser/Thr protein kinases and phosphoprotein phosphatases
2177,HP,,Other: IS elements: Others
2178,DAHP synthase,aroG,SMM: Amino acid synthesis-Aromatic
2179,Hypothetical protein,,Unknowns
2180,probable integral membrane protein,,MMM: Other membrane proteins
2181,probable integral membrane protein,,MMM: Other membrane proteins
2182,conserved hypothetical protein,,Conserved Hypotheticals
2183,Hypothetical protein,,Unknowns
2184,conserved hypothetical protein,,Conserved Hypotheticals
2185,conserved hypothetical protein,,Conserved Hypotheticals
2186,conserved hypothetical protein,,Conserved Hypotheticals
2187,acyl-CoA synthase,fadD15,SMM: Degradation of fatty acids
2188,conserved hypothetical protein,,Conserved Hypotheticals
2189,Hypothetical protein,,Unknowns
2190,putative p60 homologue ,,Other: Virulence
2191,similar to both PolC and UvrC proteins,,MMM: DNA replication; repair; recombination and restriction/modification
2192,anthranilate phosphoribosyltransferase,trpD,SMM: Amino acid synthesis-Aromatic
2193,cytochrome c oxidase polypeptide III,ctaE,SMM: Respiration- aerobic
2194,cytochrome b/c component of ubiQ-cytB reductase,qcrC,SMM: Respiration- aerobic
2195,Rieske iron-sulphur component of ubiQ-cytB,qcrA,SMM: Respiration- aerobic
2196,cytochrome b component of ubiQ-cytB reductase,qcrB,SMM: Respiration- aerobic
2197,Hypothetical protein,,Unknowns
2198,conserved small membrane protein,mmpS3,MMM: Conserved membrane proteins
2199,probable membrane protein,,MMM: Other membrane proteins
2200,cytochrome c oxidase chain II,ctaC,SMM: Respiration- aerobic
2201,arsparagine synthase B,asnB,SMM: Amino acid synthesis-Aspartate family
2202,carbohydrate kinase,cbhK,SMM: Degradation of Carbon compounds
2203,Hypothetical protein,,Unknowns
2204,conserved hypothetical protein,,Conserved Hypotheticals
2205,conserved hypothetical protein,,Conserved Hypotheticals
2206,Hypothetical protein,,Unknowns
2207,nicotinate-nucleotide-dimethylbenzimidazole,cobT,SMM: Biosyn of Cobalamin
2208,cobalamin (5'-phosphate) synthase,cobS,SMM: Biosyn of Cobalamin
2209,probable drug efflux protein,,Cell Process: Efflux proteins
2210,branched-chain-amino-acid transaminase,ilvE,SMM: Amino acid synthesis-Branched aa
2211,T protein of glycine cleavage system,gcvT,SMM: Intermediate Metabolism-General
2212,conserved hypothetical protein,,Conserved Hypotheticals
2213,aminopeptidase A/I,pepB,MMM: Degradation of Proteins; peptides and glycopeptides
2214,probable epoxide hydrolase,ephD,Cell Process: Detoxification
2215,dihydrolipoamide succinyltransferase,sucB,SMM: Energy Metabolism-TCA cycle
2216,conserved hypothetical protein,,Conserved Hypotheticals
2217,lipoate biosynthesis protein B,lipB,SMM: Biosyn of Lipoate
2218,lipoate biosynthesis protein A,lipA,SMM: Biosyn of Lipoate
2219,Hypothetical protein,,Unknowns
2220,glutamine synthase class I,glnA1,SMM: Amino acid synthesis-Glutamate family
2221,glutamate-ammonia-ligase adenyltransferase,glnE,SMM: Amino acid synthesis-Glutamate family
2222,glutamine synthase class II,glnA2,SMM: Amino acid synthesis-Glutamate family
2223,probable exported protease,,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens
2224,probable exported protease,,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens
2225,3-methyl-2-oxobutanoate hydroxymethyltransferase,panB,SMM: Biosyn of Pantothenate
2226,Hypothetical protein,,Unknowns
2227,Hypothetical protein,,Unknowns
2228,Hypothetical protein,,Unknowns
2229,Hypothetical protein,,Unknowns
2230,conserved hypothetical protein,,Conserved Hypotheticals
2231,aminotransferase,cobC,SMM: Biosyn of Cobalamin
2232,Hypothetical protein,,Unknowns
2233,conserved hypothetical protein,,Conserved Hypotheticals
2234,low molecular weight protein-tyrosine-phosphatase,ptpA,SMM: Ser/Thr protein kinases and phosphoprotein phosphatases
2235,Hypothetical protein,,Unknowns
2236,cobinamide synthase,cobD,SMM: Biosyn of Cobalamin
2237,conserved hypothetical protein,,Conserved Hypotheticals
2238,member of AhpC/TSA family,ahpE,Cell Process: Detoxification
2239,Hypothetical protein,,Unknowns
2240,conserved hypothetical protein,,Conserved Hypotheticals
2241,pyruvate dehydrogenase E1 component,aceE,SMM: Energy Metabolism-pyruvate dehydrogenase
2242,Hypothetical protein,,Unknowns
2243,malonyl CoA-[ACP] transacylase,fabD,SMM: Biosyn of fatty and mycolic acids
2244,acyl carrier protein (meromycolate extention),acpM,SMM: Biosyn of fatty and mycolic acids
2245,[beta]-ketoacyl-ACP synthase (meromycolate),kasA,SMM: Biosyn of fatty and mycolic acids
2246,[beta]-ketoacyl-ACP synthase (meromycolate),kasB,SMM: Biosyn of fatty and mycolic acids
2247,acetyl/propionyl CoA carboxylase [beta] subunit,accD6,SMM: Biosyn of fatty and mycolic acids
2248,conserved hypothetical protein,,Conserved Hypotheticals
2249,glycerol-3-phosphate dehydrogenase,glpD1,SMM: Respiration- aerobic
2250,putative transcriptional regulator,,SMM: Repressors/activators
2251,conserved hypothetical protein,,Conserved Hypotheticals
2252,conserved hypothetical protein,,Conserved Hypotheticals
2253,Hypothetical protein,,Unknowns
2254,Hypothetical protein,,Unknowns
2255,Hypothetical protein,,Unknowns
2256,conserved hypothetical protein,,Conserved Hypotheticals
2257,Hypothetical protein,,Unknowns
2258,putative transcriptional regulator,,SMM: Repressors/activators
2259,putative alcohol dehydrogenase (Zn dependent),adhE2,SMM: Misc oxidoreductases and oxygenases
2260,conserved hypothetical protein,,Conserved Hypotheticals
2261,apolipoprotein N-acyltransferase-a,,SMM: Acyltransferases; mycoloyltransferases; and phospholipid synthesis
2262,apolipoprotein N-acyltransferase-b,,SMM: Acyltransferases; mycoloyltransferases; and phospholipid synthesis
2263,possible oxidoreductase,,SMM: Misc oxidoreductases and oxygenases
2264,conserved hypothetical protein,,Conserved Hypotheticals
2265,putative integral membrane protein,,MMM: Other membrane proteins
2266,probable cytochrome P450,,Other: Cytochrome P450 enzymes
2267,Hypothetical protein,,Unknowns
2268,probable cytochrome P450,,Other: Cytochrome P450 enzymes
2269,Hypothetical protein,,Unknowns
2270,probable lipoprotein,lppN,MMM: Cell membrane-Lipoproteins
2271,Hypothetical protein,,Unknowns
2272,conserved hypothetical protein,,Conserved Hypotheticals
2273,Hypothetical protein,,Unknowns
2274,Hypothetical protein,,Unknowns
2275,Hypothetical protein,,Unknowns
2276,probable cytochrome P450,,Other: Cytochrome P450 enzymes
2277,possible glycerolphosphodiesterase,,Other: Miscellaneous phosphatases; lyases and hydrolases
2278,possible IS6110 transposase,,Other: IS elements: IS6122
2279,possible IS6110 transposase,,Other: IS elements: IS6123
2280,similar to D-lactate dehydrogenase,,SMM: Misc oxidoreductases and oxygenases
2281,phosphate permease,pitB,Cell Process: Transport/Binding: Anions
2282,transcriptional regulator (LysR family),,SMM: Repressors/activators
2283,Hypothetical protein,,Unknowns
2284,probable esterase,lipM,MMM: Esterases and Lipases
2285,conserved hypothetical protein,,Conserved Hypotheticals
2286,conserved hypothetical protein,,Conserved Hypotheticals
2287,probable Na+/H+ exchanger,yjcE,Cell Process: Transport/Binding: cations
2288,Hypothetical protein,,Unknowns
2289,CDP-diacylglycerol phosphatidylhydrolase,cdh,SMM: Acyltransferases; mycoloyltransferases; and phospholipid synthesis
2290,probable lipoprotein,lppO,MMM: Cell membrane-Lipoproteins
2291,thiosulfate sulfurtranferase,sseB,SMM: Intermediate Metabolism-of sulphur
2292,Hypothetical protein,,Unknowns
2293,Hypothetical protein,,Unknowns
2294,aminotransferase,,Other: Miscellaneous Transferases
2295,conserved hypothetical protein,,Conserved Hypotheticals
2296,halokane dehalogenase,,Other: Miscellaneous phosphatases; lyases and hydrolases
2297,Hypothetical protein,,Unknowns
2298,conserved hypothetical protein,,Conserved Hypotheticals
2299,heat shock protein Hsp90 family,htpG,Cell Process: Chaperones/Heat Shock
2300,conserved hypothetical protein,,Conserved Hypotheticals
2301,probable cutinase,,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens
2302,conserved hypothetical protein,,Conserved Hypotheticals
2303,similar to S. griseus macrotetrolide resistance,,Other: Antibiotic production and resistance
2304,Hypothetical protein,,Unknowns
2305,Hypothetical protein,,Unknowns
2306,Hypothetical protein,,Unknowns
2307,conserved hypothetical protein,,Conserved Hypotheticals
2308,putative transcriptional regulator,,SMM: Repressors/activators
2309,integrase,,Other: IS elements: Phage related functions
2310,excisonase,,Other: IS elements: Phage related functions
2311,Hypothetical protein,,Unknowns
2312,Hypothetical protein,,Unknowns
2313,Hypothetical protein,,Unknowns
2314,conserved hypothetical protein,,Conserved Hypotheticals
2315,conserved hypothetical protein,,Conserved Hypotheticals
2316,sugar transport protein,uspA,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols
2317,sugar transport protein,uspE,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols
2318,sugar transport protein,uspC,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols
2319,Hypothetical protein,,Unknowns
2320,arginine/ornithine transporter,rocE,Cell Process: Transport/Binding: amino acids
2321,ornithine aminotransferase,rocD2,SMM: Degradation of Amino acids and amines
2322,ornithine aminotransferase,rocD1,SMM: Degradation of Amino acids and amines
2323,conserved hypothetical protein,,Conserved Hypotheticals
2324,transcriptional regulator (Lrp/AsnC family),,SMM: Repressors/activators
2325,conserved hypothetical protein,,Conserved Hypotheticals
2326,ABC transporter,,MMM: Other membrane proteins
2327,conserved hypothetical protein,,Conserved Hypotheticals
2328,PE-family protein,PE,Other: PE family: PE subfamily
2329,probable nitrite extrusion protein,narK1,Cell Process: Transport/Binding: Anions
2330,lipoprotein,lppP,MMM: Cell membrane-Lipoproteins
2331,Hypothetical protein,,Unknowns
2332,probable malate oxidoreductase,mez,SMM: Misc oxidoreductases and oxygenases
2333,probable tetracenomycin C resistance protein,,Cell Process: Efflux proteins
2334,cysteine synthase A,cysK,SMM: Amino acid synthesis-Serine family
2335,serine acetyltransferase,cysE,SMM: Amino acid synthesis-Serine family
2336,Hypothetical protein,,Unknowns
2337,Hypothetical protein,,Unknowns
2338,molybdopterin biosynthesis,moeW,SMM: Biosyn of Molybdopterin
2339,conserved large membrane protein,mmpL9,MMM: Conserved membrane proteins
2340,PE-family protein,PE,Other: PE family: PE subfamily
2341,lipoprotein,lppQ,MMM: Cell membrane-Lipoproteins
2342,Hypothetical protein,,Unknowns
2343,DNA primase,dnaG,MMM: DNA replication; repair; recombination and restriction/modification
2344,probable deoxyguanosine triphosphate hydrolase,dgt,SMM: Misc. nucleoside/nucleotide reactions
2345,precursor of probable membrane protein,,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens
2346,conserved hypothetical protein,,Conserved Hypotheticals
2347,conserved hypothetical protein,,Conserved Hypotheticals
2348,Hypothetical protein,,Unknowns
2349,phospholipase C precursor,plcC,MMM: Esterases and Lipases
2350,phospholipase C precursor,plcB,MMM: Esterases and Lipases
2351,phospholipase C precursor,plcA,MMM: Esterases and Lipases
2352,PPE-family protein,PPE,Other: PPE family of proteins
2353,PPE-family protein,PPE,Other: PPE family of proteins
2354,possible IS6110 transposase,,Other: IS elements: IS6124
2355,possible IS6110 transposase,,Other: IS elements: IS6125
2356,PPE-family protein,PPE,Other: PPE family of proteins
2357,glycyl-tRNA synthase,glyS,MMM: Aminoacyl tRNA synthases and their modification
2358,transcriptional regulator (ArsR family),,SMM: Repressors/activators
2359,ferric uptake regulatory protein,furB,SMM: Repressors/activators
2360,Hypothetical protein,,Unknowns
2361,conserved hypothetical protein,,Conserved Hypotheticals
2362,conserved hypothetical protein,,Conserved Hypotheticals
2363,putative amidase,amiA2,Other: Miscellaneous phosphatases; lyases and hydrolases
2364,GTP-binding protein of Era/ThdF family,bez,SMM: Misc. nucleoside/nucleotide reactions
2365,conserved hypothetical protein,,Conserved Hypotheticals
2366,conserved hypothetical protein,,Conserved Hypotheticals
2367,conserved hypothetical protein,,Conserved Hypotheticals
2368,ATP-binding pho regulon component,phoH,SMM: Degradation of phosphorous compounds
2369,Hypothetical protein,,Unknowns
2370,conserved hypothetical protein,,Conserved Hypotheticals
2371,PE-family protein,PE,Other: PE family: PE subfamily
2372,conserved hypothetical protein,,Conserved Hypotheticals
2373,DnaJ homologue,dnaJ2,Cell Process: Chaperones/Heat Shock
2374,heat-inducible transcription repressor,hrcA,Cell Process: Chaperones/Heat Shock
2375,Hypothetical protein,,Unknowns
2376,conserved hypothetical protein,,Conserved Hypotheticals
2377,mycobactin/exochelin synthesis,mbtH,SMM: Polyketide and non-ribosomal peptide synthesis
2378,mycobactin/exochelin synthesis (lysine hydroxylase),mbtG,SMM: Polyketide and non-ribosomal peptide synthesis
2379,mycobactin/exochelin synthesis (lysine ligation),mbtF,SMM: Polyketide and non-ribosomal peptide synthesis
2380,mycobactin/exochelin synthesis (lysine ligation),mbtE,SMM: Polyketide and non-ribosomal peptide synthesis
2381,mycobactin/exochelin synthesis (polyketide ..),mbtD,SMM: Polyketide and non-ribosomal peptide synthesis
2382,mycobactin/exochelin synthesis,mbtC,SMM: Polyketide and non-ribosomal peptide synthesis
2383,mycobactin/exochelin synthesis (Ser/Thr..),mbtB,SMM: Polyketide and non-ribosomal peptide synthesis
2384,mycobactin/exochelin synthesis (salicylate-AMP..),mbtA,SMM: Polyketide and non-ribosomal peptide synthesis
2385,probable acetyl-hydrolase,lipK,MMM: Esterases and Lipases
2386,anthranilate phosphoribosyltransferase,trpE2,SMM: Amino acid synthesis-Aromatic
2387,conserved hypothetical protein,,Conserved Hypotheticals
2388,oxygen-independent coproporphyrinogen III oxidase,hemN,SMM: Biosyn of Heme and Porphyrin
2389,conserved hypothetical protein,,Conserved Hypotheticals
2390,conserved hypothetical protein,,Conserved Hypotheticals
2391,probable nitrite reductase/sulphite reductase,nirA,SMM: Respiration- anaerobic
2392,3'-phosphoadenylylsulfate (PAPS) reductase,cysH,SMM: Respiration- anaerobic
2393,conserved hypothetical protein,,Conserved Hypotheticals
2394,[gamma]-glutamyltranspeptidase precursor,ggtB,SMM: Biosyn of Thioredoxin; glytaredoxin and mycothiol
2395,probable membrane protein,,MMM: Other membrane proteins
2396,PE_PGRS family protein,PE_PGRS,Other: PE family: PGRS subfamily
2397,sulphate transport ATP-binding protein,cysA,Cell Process: Transport/Binding: Anions
2398,sulphate transport system permease protein,cysW,Cell Process: Transport/Binding: Anions
2399,sulphate transport system permease protein,cysT,Cell Process: Transport/Binding: Anions
2400,sulphate binding precursor,subI,Cell Process: Transport/Binding: Anions
2401,Hypothetical protein,,Unknowns
2402,conserved hypothetical protein,,Conserved Hypotheticals
2403,lipoprotein,lppR,MMM: Cell membrane-Lipoproteins
2404,GTP-binding protein LepA,lepA,SMM: Misc. nucleoside/nucleotide reactions
2405,Hypothetical protein,,Unknowns
2406,conserved hypothetical protein,,Conserved Hypotheticals
2407,conserved hypothetical protein,,Conserved Hypotheticals
2408,PE-family protein,PE,Other: PE family: PE subfamily
2409,conserved hypothetical protein,,Conserved Hypotheticals
2410,conserved hypothetical protein,,Conserved Hypotheticals
2411,conserved hypothetical protein,,Conserved Hypotheticals
2412,30S ribosomal protein S20,rpsT,MMM: Ribosomal protein synthesis and modification
2413,conserved hypothetical protein,,Conserved Hypotheticals
2414,conserved hypothetical protein,,Conserved Hypotheticals
2415,conserved hypothetical protein,,Conserved Hypotheticals
2416,conserved hypothetical protein,,Conserved Hypotheticals
2417,conserved hypothetical protein,,Conserved Hypotheticals
2418,Hypothetical protein,,Unknowns
2419,putative phosphoglycerate mutase,,SMM: Energy metabolism-Glycolysis
2420,conserved hypothetical protein,,Conserved Hypotheticals
2421,conserved hypothetical protein,,Conserved Hypotheticals
2422,Hypothetical protein,,Unknowns
2423,Hypothetical protein,,Unknowns
2424,HP,,Other: IS elements: Others
2425,conserved hypothetical protein,,Conserved Hypotheticals
2426,conserved hypothetical protein,,Conserved Hypotheticals
2427,[gamma]-glutamyl phosphate reductase,proA,SMM: Amino acid synthesis-Glutamate family
2428,alkyl hydroperoxide reductase,ahpC,Cell Process: Detoxification
2429,member of AhpC/TSA family,ahpD,Cell Process: Detoxification
2430,PPE-family protein,PPE,Other: PPE family of proteins
2431,PE-family protein,PE,Other: PE family: PE subfamily
2432,Hypothetical protein,,Unknowns
2433,Hypothetical protein,,Unknowns
2434,probable membrane protein,,MMM: Other membrane proteins
2435,Hypothetical protein,,Unknowns
2436,ribokinase,rbsK,SMM: Energy metabolism- Pentose phosphate pathway
2437,conserved hypothetical protein,,Conserved Hypotheticals
2438,conserved hypothetical protein,,Conserved Hypotheticals
2439,glutamate 5-kinase,proB,SMM: Amino acid synthesis-Glutamate family
2440,Obg GTP-binding protein,obg,SMM: Misc. nucleoside/nucleotide reactions
2441,50S ribosomal protein L27,rpmA,MMM: Ribosomal protein synthesis and modification
2442,50S ribosomal protein L21,rplU,MMM: Ribosomal protein synthesis and modification
2443,C4-dicarboxylate transport protein,dctA,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols
2444,similar at C-term to ribonuclease E,rne,MMM: Degradation of RNA
2445,nucleoside diphosphate kinase,ndkA,SMM: Misc. nucleoside/nucleotide reactions
2446,Hypothetical protein,,Unknowns
2447,folylpolyglutamate synthase,folC,SMM: Biosyn of Folic acid
2448,valyl-tRNA synthase,valS,MMM: Aminoacyl tRNA synthases and their modification
2449,conserved hypothetical protein,,Conserved Hypotheticals
2450,conserved hypothetical protein,,Conserved Hypotheticals
2451,Hypothetical protein,,Unknowns
2452,Hypothetical protein,,Unknowns
2453,Hypothetical protein,,Unknowns
2454,oxidoreductase; beta subunit,,SMM: Misc oxidoreductases and oxygenases
2455,probable oxidoreductase alpha subunit,,SMM: Misc oxidoreductases and oxygenases
2456,probable transmembrane transporter,,MMM: Other membrane proteins
