gene,length,class
1453,1020,SMM: Biosyn of Riboflavin
1454,1557,Cell Process: Efflux proteins
1455,720,MMM: Cell membrane-Lipoproteins
1456,606,SMM: Biosyn of Riboflavin
1457,771,Unknowns
1458,1278,SMM: Biosyn of Riboflavin
1459,483,SMM: Biosyn of Riboflavin
1460,465,Unknowns
1461,687,MMM: Cell membrane-Lipoproteins
1462,474,Unknowns
1463,1941,MMM: DNA replication; repair; recombination and restriction/modification
1464,906,Conserved Hypotheticals
1465,1029,Conserved Hypotheticals
1466,984,SMM: Repressors/activators
1467,345,MMM: Other membrane proteins
1468,1818,Conserved Hypotheticals
1469,1416,MMM: Esterases and Lipases
1470,1608,SMM: Degradation of fatty acids
1471,828,Conserved Hypotheticals
1472,1269,Conserved Hypotheticals
1474,1587,Other: PE family: PE subfamily
1475,1770,MMM: Other membrane proteins
1476,1422,SMM: Misc oxidoreductases and oxygenases
1477,816,MMM: Other membrane proteins
1478,144,Unknowns
1479,663,Conserved Hypotheticals
1479.1,216,noRV
1480,1020,SMM: Energy metabolism-Glycolysis
1481,1239,SMM: Energy metabolism-Glycolysis
1482,786,SMM: Energy metabolism-Glycolysis
1483,589,noRV
1484,426,Unknowns
1485,234,Cell Process: Protein and peptide secretion
1486,1475,Other: PE family: PGRS subfamily
1487,2301,SMM: Biosynthesis of Biotin
1488,120,noRV
1489,486,Unknowns
1490,252,noRV
1491,411,Unknowns
1492,744,SMM: Energy metabolism- Pentose phosphate pathway
1493,912,SMM: Energy metabolism- Pentose phosphate pathway
1494,1545,SMM: Energy metabolism- Pentose phosphate pathway
1495,1122,SMM: Energy metabolism- Pentose phosphate pathway
1496,2178,SMM: Energy metabolism- Pentose phosphate pathway
1497.1,4227,Other: PE family: PGRS subfamily
1497.2,159,noRV
1498,927,SMM: Respiration- aerobic
1499,2217,Other: PE family: PGRS subfamily
1500,1299,Conserved Hypotheticals
1501,1008,SMM: Misc oxidoreductases and oxygenases
1502,903,Conserved Hypotheticals
1503,936,MMM: Other membrane proteins
1504,786,MMM: Other membrane proteins
1505,942,MMM: Other membrane proteins
1506,1776,Conserved Hypotheticals
1507,837,SMM: Repressors/activators
1508,2541,Conserved Hypotheticals
1509,1194,Conserved Hypotheticals
1510,801,MMM: Other membrane proteins
1511,1254,Other: Miscellaneous Transferases
1512,489,Conserved Hypotheticals
1513,348,Conserved Hypotheticals
1514,1830,SMM: Degradation of fatty acids
1514.1,1128,Other: PE family: PGRS subfamily
1515,1974,Cell Process: Transport/Binding: cations
1516,375,SMM: Biosyn of Thioredoxin; glytaredoxin and mycothiol
1517,372,SMM: Biosyn of Thioredoxin; glytaredoxin and mycothiol
1518,858,SMM: Degradation of fatty acids
1519,1629,MMM: Other membrane proteins
1520,192,noRV
1521,564,SMM: Repressors/activators
1522,2832,SMM: Energy Metabolism-TCA cycle
1523,561,Unknowns
1524,828,Other: Virulence
1525,726,Other: Virulence
1526,1134,SMM: Repressors/activators
1527,912,Conserved Hypotheticals
1528,1008,MMM: Other membrane proteins
1529,879,Conserved Hypotheticals
1530,744,SMM: Biosyn of fatty and mycolic acids
1531,810,SMM: Biosyn of fatty and mycolic acids
1532,1035,SMM: Biosyn of Heme and Porphyrin
1533,867,Conserved Hypotheticals
1533.1,435,Conserved Hypotheticals
1533.2,1146,Conserved Hypotheticals
1534,357,Unknowns
1535,231,noRV
1536,1308,MMM: Other membrane proteins
1537,264,noRV
1538,759,MMM: Other membrane proteins
1539,1848,SMM: Degradation of fatty acids
1540,2253,SMM: Degradation of fatty acids
1541,303,Unknowns
1542,318,Conserved Hypotheticals
1543,1005,Conserved Hypotheticals
1545,1287,MMM: Esterases and Lipases
1546,618,Other: Miscellaneous Transferases
1547,213,noRV
1548,471,Unknowns
1549,1029,Other: Miscellaneous Transferases
1550,822,Conserved Hypotheticals
1551,900,Unknowns
1552,1167,Conserved Hypotheticals
1553,666,Conserved Hypotheticals
1554,519,Unknowns
1555,696,Unknowns
1555.1,504,noRV
1556,1800,MMM: Other membrane proteins
1556.1,141,noRV
1557,882,Unknowns
1558,519,noRV
1560,771,MMM: Other membrane proteins
1560.1,420,noRV
1561,1047,SMM: Intermediate Metabolism-sugar nucleotides
1562,1017,SMM: Intermediate Metabolism-sugar nucleotides
1563,732,Conserved Hypotheticals
1564,789,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens
1565,987,Conserved Hypotheticals
1566,1122,Other: Miscellaneous Transferases
1567,765,Conserved Hypotheticals
1568,960,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens
1569,270,Conserved Hypotheticals
1570,1074,Other: Miscellaneous Transferases
1571,201,noRV
1572,1752,SMM: Degradation of fatty acids
1573,3441,MMM: Conserved membrane proteins
1574,954,Other: Miscellaneous Transferases
1575,1245,Other: Miscellaneous Transferases
1576,786,SMM: Intermediate Metabolism-sugar nucleotides
1577,1281,Other: Miscellaneous Transferases
1578,6302,SMM: Polyketide and non-ribosomal peptide synthesis
1578.1,132,noRV
1579,498,SMM: Polyketide and non-ribosomal peptide synthesis
1580,1755,SMM: Degradation of fatty acids
1581,1104,SMM: Misc oxidoreductases and oxygenases
1582,567,Conserved Hypotheticals
1583,435,Conserved Hypotheticals
1584,1127,SMM: Misc oxidoreductases and oxygenases
1585,678,SMM: Repressors/activators
1585.1,168,noRV
1586,237,Unknowns
1587,3126,MMM: Aminoacyl tRNA synthases and their modification
1589,1458,MMM: DNA replication; repair; recombination and restriction/modification
1590,981,SMM: Degradation of Amino acids and amines
1591,609,Cell Process: Protein and peptide secretion
1592,927,Conserved Hypotheticals
1593,594,MMM: Cell membrane-Lipoproteins
1594,411,SMM: Respiration- aerobic
1595,903,SMM: Acyltransferases; mycoloyltransferases; and phospholipid synthesis
1596,804,SMM: Polyketide and non-ribosomal peptide synthesis
1596.1,228,Unknowns
1597,432,Conserved Hypotheticals
1598,3555,MMM: DNA replication; repair; recombination and restriction/modification
1599,2283,Other: PPE family of proteins
1600,1716,SMM: Degradation of fatty acids
1601,1794,SMM: Acyltransferases; mycoloyltransferases; and phospholipid synthesis
1602,288,noRV
1603,1752,SMM: Respiration- anaerobic
1604,744,SMM: Respiration- anaerobic
1605,381,SMM: Respiration- anaerobic
1606,378,SMM: Respiration- anaerobic
1607,609,SMM: Repressors/activators
1608,1194,MMM: Conserved membrane proteins
1609,447,Conserved Hypotheticals
1610,1290,SMM: Amino acid synthesis-Branched aa
1611,219,Conserved Hypotheticals
1612,405,Conserved Hypotheticals
1613,1830,MMM: Polysaccharides (cytoplasmic)
1614,2298,MMM: Polysaccharides (cytoplasmic)
1615,2166,MMM: Polysaccharides (cytoplasmic)
1616,2190,MMM: Other membrane proteins
1617,750,Other: Virulence
1618,285,Unknowns
1619,1314,SMM: Biosynthesis of Biotin
1620,1161,SMM: Biosynthesis of Biotin
1621,681,SMM: Biosynthesis of Biotin
1622,510,Conserved Hypotheticals
1622.1,723,Other: IS elements: REP13E12 family
1623,669,Conserved Hypotheticals
1624,1050,SMM: Biosynthesis of Biotin
1625,240,Conserved Hypotheticals
1626,582,Conserved Hypotheticals
1627,102,noRV
1628,1368,Conserved Hypotheticals
1629,534,Conserved Hypotheticals
1630,1050,SMM: Biosyn of Pyridine nucleotide
1631,1584,SMM: Biosyn of Pyridine nucleotide
1632,888,SMM: Biosyn of Pyridine nucleotide
1633,759,Unknowns
1634,411,Conserved Hypotheticals
1635,1344,SMM: Amino acid synthesis-Histidine
1636,1143,SMM: Amino acid synthesis-Histidine
1637,633,SMM: Amino acid synthesis-Histidine
1638,621,SMM: Amino acid synthesis-Histidine
1639,735,SMM: Amino acid synthesis-Histidine
1640,813,Other: Miscellaneous phosphatases; lyases and hydrolases
1641,804,SMM: Amino acid synthesis-Histidine
1641.1,348,SMM: Amino acid synthesis-Histidine
1642,1083,Cell Process: Transport/Binding: cations
1643,465,Cell Process: Detoxification
1644,1551,SMM: Amino acid synthesis-Aromatic
1645,708,MMM: Other membrane proteins
1646,849,SMM: Amino acid synthesis-Aromatic
1647,1269,SMM: Amino acid synthesis-Aromatic
1648,813,SMM: Amino acid synthesis-Aromatic
1649,1407,Cell Process: Protein and peptide secretion
1650,156,noRV
1650.1,294,noRV
1651,441,Unknowns
1652,399,Conserved Hypotheticals
1653,1419,SMM: Energy metabolism-Glycolysis
1654,885,SMM: Biosyn of fatty and mycolic acids
1655,1455,Conserved Hypotheticals
1656,1731,SMM: Respiration-Electron Transport
1657,1584,SMM: Respiration-Electron Transport
1658,1041,SMM: Respiration-Electron Transport
1659,1458,SMM: Respiration-Electron Transport
1660,588,MMM: Other membrane proteins
1661,1332,Other: Cyclases
1662,627,SMM: Two component systems
1663,1209,SMM: Acyltransferases; mycoloyltransferases; and phospholipid synthesis
1664,492,Conserved Hypotheticals
1665,2715,MMM: DNA replication; repair; recombination and restriction/modification
1666,1446,MMM: Ribosomal protein synthesis and modification
1667,1224,Conserved Hypotheticals
1668,444,Unknowns
1669,2220,MMM: DNA replication; repair; recombination and restriction/modification
1670,1416,Cell Process: Efflux proteins
1671,1698,MMM: Other membrane proteins
1672,441,Conserved Hypotheticals
1673,795,Conserved Hypotheticals
1675,2943,MMM: DNA replication; repair; recombination and restriction/modification
1676,258,noRV
1677,1470,Conserved Hypotheticals
1678,3558,MMM: Aminoacyl tRNA synthases and their modification
1679,555,MMM: Protein translation and modification
1680,195,MMM: Ribosomal protein synthesis and modification
1681,390,MMM: Ribosomal protein synthesis and modification
1682,783,MMM:RNA synthesis; RNA modification and DNA transcription
1683,1056,Conserved Hypotheticals
1684,933,Other: PE family: PE subfamily
1685,984,Conserved Hypotheticals
1686,807,MMM: Other membrane proteins
1687,1026,MMM: Aminoacyl tRNA synthases and their modification
1688,2496,MMM: Aminoacyl tRNA synthases and their modification
1689,3036,Other: PE family: PGRS subfamily
1690,1059,SMM: Amino acid synthesis-Glutamate family
1691,1215,SMM: Amino acid synthesis-Glutamate family
1692,885,SMM: Amino acid synthesis-Glutamate family
1693,1203,SMM: Amino acid synthesis-Glutamate family
1694,924,SMM: Amino acid synthesis-Glutamate family
1695,606,SMM: Repressors/activators
1696,1197,SMM: Amino acid synthesis-Glutamate family
1697,1413,SMM: Amino acid synthesis-Glutamate family
1698,1062,SMM: Polyketide and non-ribosomal peptide synthesis
1701,6381,SMM: Polyketide and non-ribosomal peptide synthesis
1702,4809,SMM: Polyketide and non-ribosomal peptide synthesis
1703,1509,SMM: Polyketide and non-ribosomal peptide synthesis
1704,3054,SMM: Polyketide and non-ribosomal peptide synthesis
1705,1062,SMM: Polyketide and non-ribosomal peptide synthesis
1706,1311,Other: Cytochrome P450 enzymes
1707,1776,MMM: Other membrane proteins
1707.1,153,Unknowns
1708,348,Conserved Hypotheticals
1709,459,MMM: Other membrane proteins
1710,1332,MMM: Other membrane proteins
1711,933,Conserved Hypotheticals
1712,657,SMM: Repressors/activators
1713,333,noRV
1714,735,SMM: Repressors/activators
1715,576,Other: Cytochrome P450 enzymes
1716,549,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens
1717,102,noRV
1718,909,MMM: Other membrane proteins
1719,1122,SMM: Degradation of fatty acids
1720,825,Unknowns
1721,996,SMM: Biosyn of Molybdopterin
1722,849,Conserved Hypotheticals
1723,3072,SMM: Degradation of fatty acids
1724,225,Conserved Hypotheticals
1725,624,Conserved Hypotheticals
1726,681,MMM: Other membrane proteins
1727,768,MMM: Other membrane proteins
1727.1,612,MMM: DNA replication; repair; recombination and restriction/modification
1728,1275,MMM: Aminoacyl tRNA synthases and their modification
1729,384,MMM: Cell membrane-Lipoproteins
1730,753,Unknowns
1731,1062,Other: Miscellaneous phosphatases; lyases and hydrolases
1732,177,Unknowns
1733,807,Other: Virulence
1734,924,Conserved Hypotheticals
1735,1764,MMM: DNA replication; repair; recombination and restriction/modification
1736,1182,Conserved Hypotheticals
1737,960,Conserved Hypotheticals
1738,1761,SMM: Pyrimidine ribonucleotide biosynthesis
1739,624,Conserved Hypotheticals
1740,936,Other: IS elements: Phage related functions
1741,1365,Other: IS elements: REP13E12 family
1742,216,noRV
1743,702,Other: Miscellaneous Transferases
1744,1671,Cell Process: Transport/Binding: amino acids
1745,1158,Other: PPE family of proteins
1746,1185,Other: PPE family of proteins
1746.1,165,noRV
1747,204,noRV
1748,1461,Cell Process: Transport/Binding: Anions
1749,753,Cell Process: Cell division
1750,837,Conserved Hypotheticals
1751,696,Conserved Hypotheticals
1751.1,765,Conserved Hypotheticals
1752,693,SMM: Misc. nucleoside/nucleotide reactions
1753,1392,Conserved Hypotheticals
1753.1,813,SMM: Misc oxidoreductases and oxygenases
1754,915,SMM: Degradation of fatty acids
1755,831,Conserved Hypotheticals
1756,351,Conserved Hypotheticals
1757,1161,Conserved Hypotheticals
1758,780,SMM: Repressors/activators
1759,108,noRV
1760,123,noRV
1761,390,Conserved Hypotheticals
1762,228,Unknowns
1763,1485,SMM: Biosyn of fatty and mycolic acids
1764,1248,MMM: Degradation of aromatic hydrocarbons
1765,420,Unknowns
1766,564,Conserved Hypotheticals
1767,1386,SMM: Misc oxidoreductases and oxygenases
1768,570,Conserved Hypotheticals
1769,777,Conserved Hypotheticals
1770,939,Conserved Hypotheticals
1771,1620,MMM: Murein sacculus and peptidoglycan
1771.1,120,noRV
1772,1557,SMM: Degradation of Carbon compounds
1773,549,Conserved Hypotheticals
1774,597,MMM: Other membrane proteins
1775,357,Unknowns
1776,594,Unknowns
1777,243,noRV
1778,1959,SMM: Respiration- anaerobic
1779,1188,Cell Process: Transport/Binding: Anions
1780,462,Conserved Hypotheticals
1781,1683,Cell Process: Transport/Binding: Anions
1782,213,Conserved Hypotheticals
1783,249,Conserved Hypotheticals
1784,738,Unknowns
1785,1701,SMM: Ser/Thr protein kinases and phosphoprotein phosphatases
1786,462,Unknowns
1787,612,Conserved Hypotheticals
1788,1431,SMM: Ser/Thr protein kinases and phosphoprotein phosphatases
1789,2592,MMM: Other membrane proteins
1790,96,noRV
1791,732,Unknowns
1792,558,MMM: Other membrane proteins
1793,1599,SMM: Degradation of fatty acids
1794,1239,SMM: Misc oxidoreductases and oxygenases
1795,450,Unknowns
1796,3318,Other: PPE family of proteins
1797,1692,Conserved Hypotheticals
1798,150,noRV
1799,1545,MMM: Esterases and Lipases
1800,1146,noRV
1801,1140,noRV
1802,2838,noRV
1803,885,noRV
1804,327,noRV
1805,525,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens
1807,2744,Other: PE family: PGRS subfamily
1808,234,noRV
1809,1596,Conserved Hypotheticals
1810,384,Unknowns
1811,789,Unknowns
1812,468,noRV
1813,153,noRV
1814,1257,Conserved Hypotheticals
1814.2,354,noRV
1815,609,noRV
1816,270,Conserved Hypotheticals
1817,360,Conserved Hypotheticals
1818,1855,Other: PE family: PGRS subfamily
1820,1203,Unknowns
1820.1,1287,Conserved Hypotheticals
1821,1287,SMM: Misc oxidoreductases and oxygenases
1821.1,168,noRV
1822,138,Unknowns
1823,780,SMM: Repressors/activators
1824,1341,SMM: Misc oxidoreductases and oxygenases
1825,819,Conserved Hypotheticals
1826,561,SMM: Repressors/activators
1827,1305,Other: Cytochrome P450 enzymes
1828,507,Unknowns
1829,1794,MMM: Other membrane proteins
1830,564,Conserved Hypotheticals
1831,2175,MMM: Polysaccharides (cytoplasmic)
1832,1521,Conserved Hypotheticals
1833,4176,Conserved Hypotheticals
1834,1281,Other: Cytochrome P450 enzymes
1835,204,SMM: Misc oxidoreductases and oxygenases
1836,1218,Other: PPE family of proteins
1837,300,Other: PE family: PE subfamily
1838,1236,Other: PPE family of proteins
1838.1,303,noRV
1839,1092,Other: PPE family of proteins
1839.1,168,noRV
1840,318,Other: PE family: PE subfamily
1841,297,Conserved Hypotheticals
1842,285,Conserved Hypotheticals
1843,903,Conserved Hypotheticals
1844,1512,MMM: Other membrane proteins
1845,1758,Conserved Hypotheticals
1846,1221,Conserved Hypotheticals
1847,1833,Conserved Hypotheticals
1848,192,MMM: Cell membrane-Lipoproteins
1849,1968,Other: PPE family of proteins
1849.1,387,noRV
1850,1272,Other: PPE family of proteins
1851,1392,Other: PPE family of proteins
1853,1953,Other: PE family: PGRS subfamily
1854,369,Conserved Hypotheticals
1854.1,423,Unknowns
1855,300,Other: PE family: PE subfamily
1856,1212,Other: PPE family of proteins
1856.1,1161,Other: PPE family of proteins
1857,2085,Other: PPE family of proteins
1858,408,Conserved Hypotheticals
1859,705,Cell Process: Transport/Binding: cations
1860,1194,SMM: Misc oxidoreductases and oxygenases
1861,432,Conserved Hypotheticals
1862,945,SMM: Acyltransferases; mycoloyltransferases; and phospholipid synthesis
1863,666,Conserved Hypotheticals
1864,705,SMM: Repressors/activators
1865,1401,SMM: Misc oxidoreductases and oxygenases
1866,1476,Other: PE family: PGRS subfamily
1867,1920,Cell Process: Efflux proteins
1868,1644,SMM: Amino acid synthesis-Branched aa
1869,2427,Cell Process: Protein and peptide secretion
1870,630,SMM: Acyltransferases; mycoloyltransferases; and phospholipid synthesis
1871,930,Conserved Hypotheticals
1872,366,MMM: Other membrane proteins
1873,879,Unknowns
1874,405,SMM: Intermediate Metabolism-General
1875,489,Conserved Hypotheticals
1876,744,Conserved Hypotheticals
1877,495,Conserved Hypotheticals
1879,678,Conserved Hypotheticals
1880,2826,SMM: Intermediate Metabolism-General
1881,861,Other: Miscellaneous phosphatases; lyases and hydrolases
1882,867,Conserved Hypotheticals
1883,1888,Conserved Hypotheticals
1884,2034,Conserved Hypotheticals
1885,2226,SMM: Energy Metabolism-Glyoxylate bypass
1886,396,Conserved Hypotheticals
1887,264,Conserved Hypotheticals
1888,1548,Other: PE family: PGRS subfamily
1889,1038,MMM: Other membrane proteins
1890,1368,MMM: Other membrane proteins
1891,1440,SMM: Purine ribonucleotide biosynthesis
1892,1452,SMM: Energy metabolism- Pentose phosphate pathway
1893,951,Unknowns
1894,417,SMM: Repressors/activators
1895,423,Conserved Hypotheticals
1896,303,SMM: Degradation of Amino acids and amines
1897,315,SMM: Degradation of Amino acids and amines
1898,1734,SMM: Degradation of Amino acids and amines
1899,636,SMM: Degradation of Amino acids and amines
1900,675,SMM: Degradation of Amino acids and amines
1901,681,SMM: Degradation of Amino acids and amines
1902,1392,SMM: Respiration- aerobic
1903,924,SMM: Misc oxidoreductases and oxygenases
1904,678,SMM: Misc oxidoreductases and oxygenases
1905,786,Cell Process: Transport/Binding: Anions
1906,738,Cell Process: Transport/Binding: Anions
1907,1110,Cell Process: Transport/Binding: Anions
1908,978,Cell Process: Transport/Binding: Anions
1909,117,noRV
1910,306,Unknowns
1911,1044,SMM: Misc oxidoreductases and oxygenases
1912,771,MMM: Other membrane proteins
1913,702,Conserved Hypotheticals
1914,861,SMM: Misc oxidoreductases and oxygenases
1915,2415,Conserved Hypotheticals
1916,1683,SMM: Acyltransferases; mycoloyltransferases; and phospholipid synthesis
1917,2100,Conserved Hypotheticals
1918,1236,SMM: Misc oxidoreductases and oxygenases
1919,636,Unknowns
1920,390,Unknowns
1921,1245,SMM: Respiration- aerobic
1922,471,Unknowns
1923,705,Unknowns
1924,444,Conserved Hypotheticals
1924.1,219,noRV
1925,480,SMM: Iron Utilization
1926,2064,Cell Process: Efflux proteins
1927,1353,SMM: Amino acid synthesis-Glutamate family
1928,1137,Conserved Hypotheticals
1929,1290,Other: Cytochrome P450 enzymes
1930,465,MMM: Cell membrane-Lipoproteins
1931,834,SMM: Misc oxidoreductases and oxygenases
1931.1,477,Conserved Hypotheticals
1932,567,Conserved Hypotheticals
1933,600,Unknowns
1934,1125,SMM: Acyltransferases; mycoloyltransferases; and phospholipid synthesis
1935,1158,Unknowns
1936,966,Unknowns
1937,357,Conserved Hypotheticals
1940,612,Unknowns
1941,408,Unknowns
1942,312,Unknowns
1943,219,Unknowns
1944,1131,SMM: Misc oxidoreductases and oxygenases
1945,432,noRV
1946,1155,SMM: Misc oxidoreductases and oxygenases
1947,912,Conserved Hypotheticals
1948,486,Conserved Hypotheticals
1949,309,Conserved Hypotheticals
1950,1125,MMM: Cell membrane-Lipoproteins
1951,1389,MMM: Esterases and Lipases
1952,1305,Cell Process: Adaptations and atypical conditions
1953,1227,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols
1954,504,MMM: Other membrane proteins
1955,435,Conserved Hypotheticals
1956,963,SMM: Degradation of Amino acids and amines
1957,474,Conserved Hypotheticals
1957.1,270,noRV
1958,648,Unknowns
1959,2223,Cell Process: Detoxification
1960,453,SMM: Repressors/activators
1961,630,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens
1962,618,MMM: Cell membrane-Lipoproteins
1963,1005,SMM: Degradation of fatty acids
1964,753,Unknowns
1965,408,Unknowns
1966,1833,SMM: Energy Metabolism-Glyoxylate bypass
1967,453,SMM: Energy Metabolism-Glyoxylate bypass
1968,4476,Other: PPE family of proteins
1969,3042,Other: PPE family of proteins
1970,486,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens
1971,864,MMM: Other membrane proteins
1972,1272,MMM: Cell membrane-Lipoproteins
1973,1116,MMM: Murein sacculus and peptidoglycan
1974,1281,MMM: Esterases and Lipases
1975,471,Unknowns
1976,1863,SMM: Degradation of fatty acids
1977,480,Unknowns
1978,93,noRV
1979,777,Unknowns
1980,746,SMM: Misc oxidoreductases and oxygenases
1980.1,644,Unknowns
1980.2,525,Conserved Hypotheticals
1981,792,SMM: Repressors/activators
1982,498,Cell Process: Detoxification
1983,1092,SMM: Degradation of fatty acids
1984,1230,SMM: Degradation of fatty acids
1985,957,SMM: Degradation of fatty acids
1986,1110,SMM: Misc oxidoreductases and oxygenases
1987,2520,SMM: Misc oxidoreductases and oxygenases
1988,1071,Cell Process: Detoxification
1989,516,SMM: Misc oxidoreductases and oxygenases
1990,1062,SMM: Biosyn of Riboflavin
1991,771,SMM: Misc oxidoreductases and oxygenases
1992,354,Conserved Hypotheticals
1993,378,Conserved Hypotheticals
1994,591,Unknowns
1995,1449,Other: IS elements: REP13E12 family
1997,453,MMM: Cell membrane-Lipoproteins
1998,402,Unknowns
1998.1,351,Unknowns
1999,903,Conserved Hypotheticals
2000,192,Conserved Hypotheticals
2001,414,Conserved Hypotheticals
2002,228,Conserved Hypotheticals
2003,312,Conserved Hypotheticals
2004,513,Unknowns
2005,450,SMM: Repressors/activators
2006,546,Unknowns
2007,153,Unknowns
2008,297,Conserved Hypotheticals
2009,252,Unknowns
2010,495,Unknowns
2011,108,noRV
2012,408,Conserved Hypotheticals
2013,273,noRV
2014,1221,SMM: Repressors/activators
2015,138,noRV
2015.1,453,noRV
2015.2,270,noRV
2016,798,Other: Virulence
2017,816,noRV
2018,1278,Other: Virulence
2019,1029,Other: Virulence
2020,1323,Other: Virulence
2021,1272,Other: Virulence
2022,1134,MMM: Cell membrane-Lipoproteins
2023,1314,Other: Virulence
2024,576,Conserved Hypotheticals
2024.1,483,Conserved Hypotheticals
2025,378,Conserved Hypotheticals
2026,666,Unknowns
2027,123,noRV
2028,408,Unknowns
2029,1047,MMM: Degradation of Proteins; peptides and glycopeptides
2030,885,Other: Miscellaneous Transferases
2031,1446,MMM: Other membrane proteins
2032,816,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens
2033,969,SMM: 2'-deoxyribonucleotide metabolism
2034,420,Conserved Hypotheticals
2035,261,noRV
2036,1677,Other: PE family: PGRS subfamily
2037,654,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens
2038,231,noRV
2039,912,SMM: Repressors/activators
2040,600,MMM: Other membrane proteins
2041,429,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens
2042,540,Other: Miscellaneous Transferases
2042.1,273,noRV
2043,561,Unknowns
2044,342,SMM: Repressors/activators
2045,258,noRV
2045.1,336,noRV
2046,345,Conserved Hypotheticals
2047,249,noRV
2048,2316,Cell Process: Transport/Binding: cations
2049,273,Conserved Hypotheticals
2050,357,SMM: Repressors/activators
2051,768,Unknowns
2052,954,Conserved Hypotheticals
2053,2706,Cell Process: Transport/Binding: cations
2054,777,Conserved Hypotheticals
2055,1323,MMM: Other membrane proteins
2056,1632,Unknowns
2057,753,Conserved Hypotheticals
2058,783,SMM: Biosyn of fatty and mycolic acids
2059,858,Conserved Hypotheticals
2060,1509,Unknowns
2061,888,Conserved Hypotheticals
2062,3984,Cell Process: Adaptations and atypical conditions
2063,345,SMM: Respiration-Electron Transport
2064,1359,Conserved Hypotheticals
2064.1,243,Conserved Hypotheticals
2065,399,Conserved Hypotheticals
2066,432,Unknowns
2067,495,Unknowns
2068,249,noRV
2069,621,Other: IS elements: Others
2070,591,Other: IS elements: Others
2071,1296,Conserved Hypotheticals
2072,642,Unknowns
2073,1041,SMM: Repressors/activators
2074,789,Conserved Hypotheticals
2075,417,Unknowns
2076,300,Unknowns
2077,306,SMM: Repressors/activators
2078,606,Conserved Hypotheticals
2079,456,Unknowns
2080,678,noRV
2080.1,237,noRV
2081,936,noRV
2082,4821,Conserved Hypotheticals
2083,117,noRV
2084,999,MMM: Other membrane proteins
2085,885,Conserved Hypotheticals
2086,1722,SMM: Two component systems
2087,840,Conserved Hypotheticals
2088,1020,SMM: Energy metabolism-Glycolysis
2089,2046,Conserved Hypotheticals
2090,435,Cell Process: Chaperones/Heat Shock
2091,1002,Conserved Hypotheticals
2092,123,noRV
2093,843,Unknowns
2094,471,SMM: Repressors/activators
2095,489,Unknowns
2096,696,Other: Antibiotic production and resistance
2097,975,MMM: Other membrane proteins
2098,1074,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols
2099,843,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols
2100,903,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols
2101,1320,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols
2102,798,Conserved Hypotheticals
2103,561,Other: Antibiotic production and resistance
2104,390,Unknowns
2105,1506,MMM: Esterases and Lipases
2106,657,MMM: Cell membrane-Lipoproteins
2107,2565,Conserved Hypotheticals
2108,12456,SMM: Polyketide and non-ribosomal peptide synthesis
2109,363,Unknowns
2110,336,Conserved Hypotheticals
2111,2607,MMM: Other membrane proteins
2112,1605,Unknowns
2113,579,Conserved Hypotheticals
2114,714,Unknowns
2115,123,noRV
2116,267,MMM: Ribosomal protein synthesis and modification
2117,306,MMM: Ribosomal protein synthesis and modification
2117.1,165,MMM: Ribosomal protein synthesis and modification
2118,237,MMM: Ribosomal protein synthesis and modification
2119,1536,Conserved Hypotheticals
2120,444,Unknowns
2121,3588,SMM: Biosyn of Cobalamin
2122,234,noRV
2123,327,Unknowns
2124,1092,SMM: Biosyn of Cobalamin
2125,627,SMM: Biosyn of Cobalamin
2126,1527,SMM: Biosyn of Cobalamin
2127,1224,Conserved Hypotheticals
2128,924,Other: Antibiotic production and resistance
2129,936,MMM:RNA synthesis; RNA modification and DNA transcription
2130,735,SMM: Biosyn of Cobalamin
2131,801,SMM: Biosyn of Cobalamin
2132,1173,SMM: Biosyn of Cobalamin
2133,750,SMM: Misc oxidoreductases and oxygenases
2134,414,Unknowns
2135,1464,Unknowns
2136,300,Unknowns
2137,972,Conserved Hypotheticals
2138,300,noRV
2138.1,150,noRV
2138.2,444,noRV
2139,315,Unknowns
2140,1971,Unknowns
2141,573,MMM: Cell membrane-Lipoproteins
2142,195,noRV
2143,453,Unknowns
2144,2160,Conserved Hypotheticals
2145,945,Conserved Hypotheticals
2146,1143,Unknowns
2147,306,Other: IS elements: Others
2148,914,Other: IS elements: Others
2149,1770,SMM: Ser/Thr protein kinases and phosphoprotein phosphatases
2150,1128,MMM: Degradation of Proteins; peptides and glycopeptides
2151,957,MMM: DNA replication; repair; recombination and restriction/modification
2152,735,MMM: Other membrane proteins
2153,2721,MMM: DNA replication; repair; recombination and restriction/modification
2154,855,MMM: Other membrane proteins
